ENCERRAMENTO;UF;MUNICIPIO;QTE;ATIVIDADE
01/02/2022;PE;CARUARU;1;REMANEJAMENTO - BL E VOIP
01/02/2022;PR;MARINGA;2;REMANEJAMENTO - BL E VOIP
01/02/2022;PR;PAICANDU;1;REMANEJAMENTO - BL
01/02/2022;PR;RIBEIRAO DO PINHAL;1;REMANEJAMENTO - BL E VOIP
01/02/2022;RJ;NITEROI;2;REMANEJAMENTO - BL
01/02/2022;RS;ALVORADA;6;REMANEJAMENTO - BL E VOIP
01/02/2022;RS;CAXIAS DO SUL;3;REMANEJAMENTO - BL
01/02/2022;RS;GRAVATAI;1;REMANEJAMENTO - BL
01/02/2022;SE;ARACAJU;1;REMANEJAMENTO - BL E VOIP
01/02/2022;TO;PALMAS;1;REMANEJAMENTO - BL
01/03/2021;AP;MACAPA;4;REMANEJAMENTO - BL E VOIP
01/03/2021;BA;EUNAPOLIS;1;REMANEJAMENTO - BL E VOIP
01/03/2021;GO;APARECIDA DE GOIANIA;7;REMANEJAMENTO - BL E VOIP
01/03/2021;GO;GOIANIA;5;REMANEJAMENTO - BL E VOIP
01/03/2021;GO;GOIANIA;1;REMANEJAMENTO - VOIP
01/03/2021;MA;SAO LUIS;6;REMANEJAMENTO - BL
01/03/2021;MA;SAO LUIS;1;REMANEJAMENTO - BL E VOIP E IPTV
01/03/2021;MG;JUIZ DE FORA;2;REMANEJAMENTO - BL E VOIP
01/03/2021;MG;POUSO ALEGRE;1;REMANEJAMENTO - BL E VOIP E IPTV
01/03/2021;MS;DOURADOS;3;REMANEJAMENTO - BL
01/03/2021;MT;CUIABA;2;REMANEJAMENTO - BL
01/03/2021;PA;ANANINDEUA;1;REMANEJAMENTO - BL E VOIP E IPTV
01/03/2021;PA;BELEM;3;REMANEJAMENTO - BL
01/03/2021;PB;CAMPINA GRANDE;1;REMANEJAMENTO - BL E VOIP
01/03/2021;PE;CARUARU;1;REMANEJAMENTO - VOIP
01/03/2021;PR;CURITIBA;1;REMANEJAMENTO - BL E VOIP E IPTV
01/03/2021;PR;MARINGA;5;REMANEJAMENTO - BL E VOIP
01/03/2021;PR;MARINGA;1;REMANEJAMENTO - VOIP
01/03/2021;PR;PINHAIS;2;REMANEJAMENTO - BL E VOIP
01/03/2021;PR;SAO JOSE DOS PINHAIS;3;REMANEJAMENTO - BL E VOIP
